"降雨量
（毫米）",死亡失踪（人）,"万人死亡
失踪（率）",倒损房（间）,倒损房（率）,转移安置率,"农作物（公顷）
","工矿商贸
（万元）","公共服务
（万元）","道路损毁
（千米）"
439.4409614,0,0,1840.8,33.73702422,13.25068911,4091.07,1909.55,2473.79,87.53592794
510.3996057,0,0,381.5,6.139362729,33.63373029,1731.485,7970.09,1225.38,0
379.4116273,0,0,1233.2,11.11209228,19.97689636,3850.35,4733.5,169.84,136.2094609
506.4572198,0,0,87.5,0,0,3106.485,489.28,110.7,0
302.2765782,0,0,680.9,12.62745214,0,16049.375,2456.4,3533.6,88.0928915
448.901598,0,0,143.7,4.384278836,33.16430825,2963.99,19726.89,516.92,39.78194338
414.881299,0,0,209.3,5.314367837,4.545015971,3881.065,2625.41,2927.45,76.83358316
378.6853022,0,0,246.9,15.80210567,0,2460,341.3,40.57,126.644353
342.7844397,0,0,122.2,2.11200177,0,2954,1010,2717.76,162.7426933
350.2479489,0,0,163.7,3.658206831,26.07896989,5972.68,14651.43,10397.83,83.11113688
354.4538845,0,0,25.3,0.757002271,64.06094317,3192.525,6068.78,12299.87,83.86261389
302.2765782,0,0,98,1.458116352,251.5399494,11623.35,1316.43,1925.18,0
315.9589876,0,0,520.3,6.610266177,0,3677.08,726.16,0,100.8554476
354.7908745,1,0.19791453,18,0.356222615,0,2936.08,1225.57,254.14,47.73691066
378.6853022,0,0,19,0.45421946,0,1925.85,8120.11,10171.22,0
306.662989,0,0,721.3,14.47937096,5.239312104,5789.75,1076.7,405.7,43.27417999
364.4865224,0,0,103.6,8.297359421,0,1858.3,5150.53,127.25,18.64741105
228.9697254,0,0,224.3,2.477358074,0.033134526,9831.4,35.49,0,97.92567703
344.5692616,0,0,103.7,4.550960222,15.79889759,1935,257.37,468.32,22.94528491
348.1420708,0,0,217.8,3.240401167,0,2026.7,6048.14,169.8,13.68627364
278.2433788,0,0,228.7,3.388991631,0,5149.51,411.95,435.04,65.32096938
275.3572384,0,0,362,8.326241461,42.88474366,3244.995,5060.38,991.98,53.11222733
257.5785425,0,0,0,0,52.63350407,3802.29,1448.77,1153.5,59.08790572
244.6302596,0,0,1224,29.36343245,8.180498747,3665.295,685.68,1121.48,60.12638924
226.6488257,0,0,4.8,0.0879967,30.70718181,1700.64,530.2,0,54.15502916
191.7535647,0,0,957.9,10.27650768,0,5323.985,5547.06,950,33.25213207
206.7624816,0,0,13,0.290743184,0,4542.46,98.5,69.93,28.55731276
180.0387499,0,0,115.9,1.650186162,0,4870.62,0,0,43.0225399
180.3857774,0,0,0,0,0,1542.41,0,0,25.55193464
141.2269475,0,0,0,0,0,3231.315,891.75,0,33.12525911
126.8769085,0,0,0,0,179.0277778,1879.485,318.47,49.87,0
132.5607864,0,0,13.2,0.273079907,24.39100078,3561.25,366.84,85.3,20.00195563
120.595128,0,0,138.1,2.541326458,32.90290882,2211.5,2646.01,792.09,21.93387935
126.8769085,0,0,28.4,0.406678113,22.03794421,883.82,61.6,115,19.41911108
127.3104257,0,0,0,0,0,838.7,3264.95,531,23.72752468
103.2421875,0,0,30,0.520739311,0,2333.975,0,1965.68,17.69310392
89.79907019,0,0,0,0,0,3922.67,15,56.18,16.22574354
126.8769085,0,0,0,0,0,537.185,0,0,0
87.43236233,0,0,131.3,4.013805289,29.83605455,685.3,3776.43,144.34,9.50414966
81.54264117,0,0,118.7,3.074141985,0,1569.815,119.9,4128.78,9.800775286
49.0548157,0,0,0,0,0,1421.395,973.6,0,8.033239015
54.63396865,0,0,0,0,0,174.4,3760.63,0,5.495649318
